Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
235966;user7426;tweet248126;2019-11-03 18:57:00;FALSO;FALSO;FALSO;es;Los del HT #FueraComunistas aún siguen las palabras de su general. https://t.co/HsBtyCZFrO;201911030;18;1
235986;user3581;tweet247473;2019-11-03 16:35:00;FALSO;FALSO;FALSO;es;Q Horror los Audios de Wassap como  Cambiar Constitución. Tiene q ser KKK. #chadwickasesino;201911030;16;1
235989;user3581;tweet245575;2019-11-03 05:25:00;FALSO;FALSO;FALSO;es;#CaneloKovalev A primera vista se ve a Canelo pequeño ante Kovalev. Obviamente era un Round de estudio. Me refiero a vista.;201911030;5;1
236010;user3583;tweet244922;2019-11-03 02:52:00;FALSO;FALSO;FALSO;es;Una nueva Historia comienza a escribirse... #VamosPorMas https://t.co/zRr6Zbza6p;201911030;2;1
236020;user3587;tweet247972;2019-11-03 18:21:00;FALSO;FALSO;FALSO;es;No sé a ustedes, pero a mí nueva constitucion y asamblea constituyente me huele a Venezuela, y no quiero eso para mi país;201911030;18;1
236218;user3588;tweet245942;2019-11-03 11:29:00;FALSO;FALSO;FALSO;es;Abuso tras abuso weon, que impotencia! https://t.co/lk6Jya7YMC;201911030;11;1
236223;user3588;tweet247877;2019-11-03 18:00:00;FALSO;FALSO;FALSO;es;Que no se olvide!!! https://t.co/HjCLe98eos;201911030;18;1
236226;user3588;tweet247861;2019-11-03 17:58:00;FALSO;FALSO;FALSO;es;Póngase vi'os po o'e. Si disfrutar de los beneficios es refácil cuando no has movido la raja pa' ni una wea! https://t.co/EkPWDV2dEK;201911030;17;1
236227;user3588;tweet244122;2019-11-03 00:41:00;FALSO;FALSO;FALSO;es;Weon, no puedo con esto. Me supera. ?????? https://t.co/lbr7Vc0D8z;201911030;0;1
236228;user3588;tweet246068;2019-11-03 12:21:00;FALSO;FALSO;FALSO;es;Me llegó a doler el estómago! https://t.co/10u09MRET5;201911030;12;1
236232;user3588;tweet244166;2019-11-03 00:48:00;FALSO;FALSO;FALSO;es;Mi puerto querido, te amo con el corazón. Siempre al extremo en la lucha! https://t.co/PyPtD1TkmP;201911030;0;1
236234;user3588;tweet245957;2019-11-03 11:37:00;FALSO;FALSO;FALSO;es;Jueguemos en el bosque... ?????? https://t.co/on8VF1UCTD;201911030;11;1
236240;user3588;tweet244194;2019-11-03 00:52:00;FALSO;FALSO;FALSO;es;Lo siguen poniendo en duda? https://t.co/tnl6Tmfxuu;201911030;0;1
236245;user3588;tweet246152;2019-11-03 12:44:00;FALSO;FALSO;FALSO;es;Ahí esta la wea! https://t.co/jPpEzodlqY;201911030;12;1
236300;user3589;tweet244953;2019-11-03 02:58:00;FALSO;FALSO;FALSO;es;"Impotencia da el darse cuenta cómo pasamos del ""pico en el ojo"" al ""balazo en el ojo"". Así son. Todo fríamente calculado. #fuerapiñera #piñeraviolaDDHH";201911030;2;1
236409;user3591;tweet249122;2019-11-03 22:26:00;FALSO;FALSO;FALSO;es;Se me estaban secando las plantitas ??;201911030;22;1
236418;user3591;tweet246201;2019-11-03 12:54:00;FALSO;FALSO;FALSO;es;Depositaron las 7 lucas de la marcha?;201911030;12;1
236426;user3591;tweet246706;2019-11-03 14:20:00;FALSO;FALSO;FALSO;es;Qué onda el relajo. https://t.co/lUdHioVCy3;201911030;14;1
236433;user3591;tweet246569;2019-11-03 13:59:00;FALSO;FALSO;FALSO;es;Hay unos que en el fervor del dicurso revolucionario están pasando colados como abusadores. Pero ya viene cabras, ya viene.;201911030;13;1
236434;user3591;tweet249183;2019-11-03 22:39:00;FALSO;FALSO;FALSO;es;Voy a pedir plantitas para navidad.;201911030;22;1
236438;user3591;tweet247543;2019-11-03 16:52:00;FALSO;FALSO;FALSO;es;Te cachai la reescritura de los mitos fundacionales?;201911030;16;1
236478;user133;tweet247919;2019-11-03 18:08:00;FALSO;FALSO;FALSO;es;la mansaca de Son;201911030;18;1
236486;user3593;tweet248269;2019-11-03 19:35:00;FALSO;FALSO;FALSO;es;. @PamJiles @FELIX_GonzalezG @ifloresdiputado Acusación Constitucional contra Sebastián Piñera - ĦFirma la petición! https://t.co/jT0SPGTvMv vía @ChangeorgLatino;201911030;19;1
